roster_name,resolved_player_id
Bradley Beal,203078
James Harden,201935
Kawhi Leonard,202695
Chris Paul,101108
Kobe Sanders,
Derrick Jones Jr.,1627884
Kris Dunn,1627739
Bogdan Bogdanović,
Brook Lopez,201572
Cam Christie,
Yanic Konan Niederhäuser,
Jahmyl Telfort,
John Collins,1628381
Jordan Miller,1641757
Kobe Brown,1641738
Nicolas Batum,201587
Ivica Zubac,1627826
Adou Thiero,
Jarred Vanderbilt,1629020
Dalton Knecht,
Deandre Ayton,1629028
Gabe Vincent,1629216
Bronny James,
Christian Koloko,1631132
Jaxson Hayes,1629637
Jake LaRavia,1631222
Maxi Kleber,1628467
Austin Reaves,1630559
Nick Smith Jr.,1641733
LeBron James,2544
Rui Hachimura,1629060
Chris Mañon,
Marcus Smart,203935
Luka Dončić,
Simone Fontecchio,1631323
Terry Rozier,1626179
Nikola Jović,
Kel'el Ware,
Pelle Larsson,
Jaime Jaquez Jr.,1631170
Dru Smith,1630696
Bam Adebayo,1628389
Tyler Herro,1629639
Myron Gardner,
Keshad Johnson,
Jahmir Young,
Andrew Wiggins,203952
Norman Powell,1626181
Kasparas Jakučionis,
Davion Mitchell,1630558
Vladislav Goldin,
Jericho Sims,1630579
Myles Turner,1626167
Gary Trent Jr.,1629018
Kevin Porter Jr.,1629645
Bobby Portis,1626171
Gary Harris,203914
Taurean Prince,1627752
Ryan Rollins,1631157
Amir Coffey,1629599
Kyle Kuzma,1628398
Mark Sears,
AJ Green,1631260
Alex Antetokounmpo,
Giannis Antetokounmpo,203507
Pete Nance,1631250
Thanasis Antetokounmpo,203648
Andre Jackson Jr.,1641748
Cole Anthony,1630175
Donte DiVincenzo,1628978
Terrence Shannon Jr.,
Jaden McDaniels,1630183
Rob Dillingham,
Anthony Edwards,1630162
Joe Ingles,204060
Bones Hyland,1630538
Johnny Juzang,1630548
Mike Conley,201144
Naz Reid,1629675
Joan Beringer,
Jaylen Clark,1641740
Enrique Freeman,
Rudy Gobert,203497
Julius Randle,203944
Leonard Miller,1631159
Rocco Zikarsky,
Ziaire Williams,1630533
Danny Wolf,
Drake Powell,
Haywood Highsmith,1629312
Egor Dëmin,
E.J. Liddell,1630604
Tyson Etienne,
Tyrese Martin,1631213
Terance Mann,1629611
Michael Porter Jr.,1629008
Day'Ron Sharpe,1630549
Noah Clowney,1641730
Jalen Wilson,1630592
Cam Thomas,1630560
Nic Claxton,1629651
Ben Saraf,
Nolan Traore,
Jordan Clarkson,203903
Miles McBride,1630540
Josh Hart,1628404
Pacôme Dadiet,
OG Anunoby,1628384
Kevin McCullar Jr.,
Jalen Brunson,1628973
Tyler Kolek,
Tosan Evbuomwan,1641787
Mitchell Robinson,1629011
Mikal Bridges,1628969
Guerschon Yabusele,1627824
Karl-Anthony Towns,1626157
Landry Shamet,1629013
Trey Jemison III,1641998
Mohamed Diawara,
Ariel Hukporti,
Anthony Black,1641710
Jonathan Isaac,1628371
Tyus Jones,1626145
Desmond Bane,1630217
Jalen Suggs,1630591
Paolo Banchero,1631094
Orlando Robinson,1631115
Jamal Cain,1631288
Jase Richardson,
Jett Howard,1641724
Colin Castleton,1630658
Moritz Wagner,1629021
Franz Wagner,1630532
Tristan da Silva,
Wendell Carter Jr.,1628976
Goga Bitadze,1629048
Noah Penda,
Tyrese Haliburton,1630169
Bennedict Mathurin,1631097
Obi Toppin,1630167
Andrew Nembhard,1629614
Monté Morris,
Taelon Peter,
Jarace Walker,1641716
Kam Jones,
T.J. McConnell,204456
RayJ Dennis,
Johnny Furphy,
Tony Bradley,1628396
Garrison Mathews,1629726
Isaiah Jackson,1630543
Aaron Nesmith,1630174
Jeremiah Robinson-Earl,1630526
Ben Sheppard,1641767
Quenton Jackson,1631245
Jay Huff,1630643
Pascal Siakam,1627783
Tyrese Maxey,1630178
Andre Drummond,203083
Quentin Grimes,1629656
Kyle Lowry,200768
Paul George,202331
Kelly Oubre Jr.,1626162
Justin Edwards,
Trendon Watford,1630570
Jared McCain,
Joel Embiid,203954
Johni Broome,
Eric Gordon,201569
Dominick Barlow,1631230
Adem Bona,
Jabari Walker,1631133
Hunter Sallis,
VJ Edgecombe,
Royce O'Neale,1626220
Ryan Dunn,
Devin Booker,1626164
Nick Richards,1630208
Dillon Brooks,1628415
Jalen Green,1630224
Grayson Allen,1628960
Khaman Maluach,
Oso Ighodaro,
Collin Gillespie,1631221
Koby Brea,
Mark Williams,1631109
Jamaree Bouyea,1631123
Isaiah Livers,1630587
Rasheer Fleming,
Nigel Hayes-Davis,
Jordan Goodwin,1630692
Damian Lillard,203081
Scoot Henderson,1630703
Blake Wesley,1631104
Caleb Love,
Matisse Thybulle,1629680
Jrue Holiday,201950
Deni Avdija,1630166
Jerami Grant,203924
Yang Hansen,
Shaedon Sharpe,1631101
Javonte Cooke,
Rayan Rupert,1641712
Donovan Clingan,
Kris Murray,1631200
Duop Reath,1641871
Toumani Camara,1641739
Robert Williams III,1629057
Sidy Cissoko,1631321
Malik Monk,1628370
Nique Clifford,
Doug McDermott,203926
Zach LaVine,203897
Precious Achiuwa,1630173
DeMar DeRozan,201942
Domantas Sabonis,1627734
Keegan Murray,1631099
Dennis Schröder,
Russell Westbrook,201566
Drew Eubanks,1629234
Dario Šarić,
Devin Carter,
Keon Ellis,1631165
Isaiah Stevens,
Daeqwon Plowden,
Dylan Cardwell,
Maxime Raynaud,
Jordan McLaughlin,1629162
Victor Wembanyama,1641705
Dylan Harper,
Keldon Johnson,1629640
De'Aaron Fox,1628368
Stephon Castle,
Luke Kornet,1628436
Kelly Olynyk,203482
Jeremy Sochan,1631110
Carter Bryant,
Bismack Biyombo,202687
Devin Vassell,1630170
David Jones Garcia,
Riley Minix,
Julian Champagnie,1630577
Harrison Barnes,203084
Lindy Waters III,1630322
Harrison Ingram,
Shai Gilgeous-Alexander,1628983
Chris Youngblood,
Luguentz Dort,1629652
Jaylin Williams,1631119
Chet Holmgren,1631096
Jalen Williams,1631114
Alex Caruso,1627936
Isaiah Joe,1630198
Thomas Sorber,
Ousmane Dieng,1631172
Branden Carlson,
Aaron Wiggins,1630598
Cason Wallace,1641717
Brooks Barnhizer,
Ajay Mitchell,
Kenrich Williams,1629026
Nikola Topić,
Isaiah Hartenstein,1628392
A.J. Lawson,1630639
Gradey Dick,1641711
Jonathan Mogbo,
Brandon Ingram,1627742
Scottie Barnes,1630567
Immanuel Quickley,1630193
RJ Barrett,1629628
Collin Murray-Boyles,
Ja'Kobe Walter,
Garrett Temple,202066
Jakob Poeltl,1627751
Jamal Shead,
Chucky Hepburn,
Ochai Agbaji,1630534
Sandro Mamukelashvili,1630572
Alijah Martin,
Jamison Battle,
Taylor Hendricks,1641707
Kyle Anderson,203937
Keyonte George,1641718
Cody Williams,
Isaiah Collier,
Svi Mykhailiuk,1629004
Walter Clayton Jr.,
Elijah Harkless,
John Tonje,
Ace Bailey,
Kyle Filipowski,
Lauri Markkanen,1628374
Walker Kessler,1631117
Brice Sensabaugh,1641729
Jusuf Nurkić,
Georges Niang,1627777
Oscar Tshiebwe,1631131
Kevin Love,201567
Jahmai Mashack,
Jaylen Wells,
Scotty Pippen Jr.,1630590
Ty Jerome,1629660
Kentavious Caldwell-Pope,203484
Vince Williams Jr.,1631246
Santi Aldama,1630583
Jaren Jackson Jr.,1628991
Javon Small,
Ja Morant,1629630
Zach Edey,
Brandon Clarke,1629634
Olivier-Maxence Prosper,1641765
Cedric Coward,
Cam Spencer,
Jock Landale,1629111
GG Jackson,1641713
John Konchar,1629723
Bilal Coulibaly,1641731
Tristan Vukcevic,1641774
Cam Whitmore,1641715
CJ McCollum,203468
AJ Johnson,
Jamir Watkins,
Bub Carrington,
Malaki Branham,1631103
Justin Champagnie,1630551
Tre Johnson,
Sharife Cooper,1630536
Anthony Gill,1630264
Kyshawn George,
Alex Sarr,
Khris Middleton,203114
Corey Kispert,1630557
Will Riley,
Marvin Bagley III,1628963
Jalen Duren,1631105
Cade Cunningham,1630595
Isaac Jones,
Ronald Holland II,
Paul Reed,1630194
Caris LeVert,1627747
Wendell Moore Jr.,1631111
Ausar Thompson,1641709
Tobias Harris,202699
Chaz Lanier,
Jaden Ivey,1631093
Daniss Jenkins,
Marcus Sasser,1631204
Isaiah Stewart,1630191
Javonte Green,1629750
Bobi Klintman,
Tolu Smith,
Duncan Robinson,1629130
Miles Bridges,1628970
LaMelo Ball,1630163
Grant Williams,1629684
Sion James,
Kon Knueppel,
Collin Sexton,1629012
Drew Peterson,1641809
Josh Green,1630182
Ryan Kalkbrenner,
Antonio Reeves,
Moussa Diabaté,
Pat Connaughton,1626192
Mason Plumlee,203486
Tre Mann,1630544
Brandon Miller,1641706
KJ Simpson,
Tidjane Salaün,
Liam McNeeley,
