player,train_rows,val_rows,test_rows,status,model_path
Zach Edey,0,0,0,failed,
Brandon Clarke,0,0,0,failed,
Olivier-Maxence Prosper,0,0,0,failed,
Cedric Coward,0,0,0,failed,
Cam Spencer,0,0,0,failed,
Jock Landale,0,0,0,failed,
GG Jackson,0,0,0,failed,
John Konchar,0,0,0,failed,
Bilal Coulibaly,0,0,0,failed,
Tristan Vukcevic,0,0,0,failed,
Cam Whitmore,0,0,0,failed,
CJ McCollum,0,0,0,failed,
AJ Johnson,0,0,0,failed,
Jamir Watkins,0,0,0,failed,
Bub Carrington,0,0,0,failed,
Malaki Branham,0,0,0,failed,
Justin Champagnie,0,0,0,failed,
Tre Johnson,0,0,0,failed,
Sharife Cooper,0,0,0,failed,
Anthony Gill,0,0,0,failed,
Kyshawn George,0,0,0,failed,
Alex Sarr,0,0,0,failed,
Khris Middleton,0,0,0,failed,
Corey Kispert,0,0,0,failed,
Will Riley,0,0,0,failed,
Marvin Bagley III,0,0,0,failed,
Jalen Duren,0,0,0,failed,
Cade Cunningham,0,0,0,failed,
Isaac Jones,0,0,0,failed,
Ronald Holland II,0,0,0,failed,
Paul Reed,0,0,0,failed,
Caris LeVert,0,0,0,failed,
Wendell Moore Jr.,0,0,0,failed,
Ausar Thompson,0,0,0,failed,
Tobias Harris,0,0,0,failed,
Chaz Lanier,0,0,0,failed,
Jaden Ivey,0,0,0,failed,
Daniss Jenkins,0,0,0,failed,
Marcus Sasser,0,0,0,failed,
Isaiah Stewart,0,0,0,failed,
Javonte Green,0,0,0,failed,
Bobi Klintman,0,0,0,failed,
Tolu Smith,0,0,0,failed,
Duncan Robinson,0,0,0,failed,
Miles Bridges,0,0,0,failed,
LaMelo Ball,0,0,0,failed,
Grant Williams,0,0,0,failed,
Sion James,0,0,0,failed,
Kon Knueppel,0,0,0,failed,
Collin Sexton,0,0,0,failed,
Drew Peterson,0,0,0,failed,
Josh Green,0,0,0,failed,
Ryan Kalkbrenner,0,0,0,failed,
Antonio Reeves,0,0,0,failed,
Moussa Diabaté,0,0,0,failed,
Pat Connaughton,0,0,0,failed,
Mason Plumlee,0,0,0,failed,
Tre Mann,0,0,0,failed,
Brandon Miller,0,0,0,failed,
KJ Simpson,0,0,0,failed,
Tidjane Salaün,0,0,0,failed,
Liam McNeeley,0,0,0,failed,
