player,status,best_weights,val_rmse
OG Anunoby,ok,"[0.25, 0.75, 0.0]",6.912438620263639
Norman Powell,ok,"[0.0, 1.0, 0.0]",11.391496757755156
Nikola Vučević,ok,"[0.75, 0.25, 0.0]",4.883501841734047
Nikola Jokić,ok,"[0.0, 1.0, 0.0]",4.783324598012621
Nicolas Batum,ok,"[0.0, 0.5, 0.5]",2.1736991478611865
Nickeil Alexander-Walker,ok,"[0.0, 0.0, 1.0]",1.7386878796217016
Nick Smith Jr.,ok,"[1.0, 0.0, 0.0]",7.3852430078985405
Nick Richards,ok,"[1.0, 0.0, 0.0]",8.090005297543737
Nic Claxton,ok,"[1.0, 0.0, 0.0]",5.497703416622514
Neemias Queta,ok,"[0.0, 0.25, 0.75]",2.7050112861605498
Naz Reid,ok,"[0.25, 0.0, 0.75]",10.03184960647863
Jalen Williams,ok,"[1.0, 0.0, 0.0]",8.366544772399859
Jalen Smith,ok,"[0.0, 1.0, 0.0]",2.9232803600659327
Jalen Green,ok,"[1.0, 0.0, 0.0]",8.584434418510883
Jalen Duren,ok,"[0.0, 1.0, 0.0]",3.2900838277153963
Jalen Brunson,ok,"[0.75, 0.0, 0.25]",9.732821474580987
Jakob Poeltl,ok,"[0.0, 0.75, 0.25]",4.084119760341175
Jake LaRavia,ok,"[0.0, 0.5, 0.5]",6.414860725861066
Jaime Jaquez Jr.,ok,"[0.25, 0.0, 0.75]",4.156020355530341
Jae'Sean Tate,ok,"[1.0, 0.0, 0.0]",4.089746761283463
Jaden McDaniels,ok,"[0.0, 0.0, 1.0]",8.081377591341068
Jaden Hardy,ok,"[1.0, 0.0, 0.0]",9.23577980310426
Jaylen Brown,ok,"[0.0, 0.5, 0.5]",7.427795082373355
Jay Huff,ok,"[1.0, 0.0, 0.0]",7.456967020368076
Jaxson Hayes,ok,"[0.0, 0.0, 1.0]",5.969113442507306
Javonte Green,ok,"[1.0, 0.0, 0.0]",4.184544692761004
Jarrett Allen,ok,"[0.75, 0.0, 0.25]",6.392577957577248
Jaren Jackson Jr.,ok,"[0.0, 0.0, 1.0]",7.568102806871817
Jarace Walker,ok,"[0.0, 0.0, 1.0]",6.998772715799041
Jamison Battle,ok,"[0.0, 1.0, 0.0]",5.280371532063129
James Harden,ok,"[0.75, 0.0, 0.25]",5.720399973180104
Jamal Shead,ok,"[1.0, 0.0, 0.0]",5.593016053206765
Jamal Murray,ok,"[0.25, 0.75, 0.0]",8.950470828182555
Jalen Wilson,ok,"[1.0, 0.0, 0.0]",7.276256887006828
Jimmy Butler III,ok,"[1.0, 0.0, 0.0]",5.91900932830583
Jett Howard,ok,"[0.75, 0.0, 0.25]",2.2603615229589535
Jericho Sims,ok,"[0.0, 0.0, 1.0]",2.7532709173678938
Jeremy Sochan,ok,"[1.0, 0.0, 0.0]",6.0152900416949375
Jeremiah Robinson-Earl,ok,"[0.0, 0.5, 0.5]",3.144441530915019
Jayson Tatum,ok,"[1.0, 0.0, 0.0]",7.588608003354201
Jaylen Wells,ok,"[0.0, 0.0, 1.0]",8.478204660766462
Naji Marshall,ok,"[1.0, 0.0, 0.0]",11.532086913105909
Myles Turner,ok,"[0.25, 0.0, 0.75]",5.387847142985801
Moussa Diabaté,ok,"[1.0, 0.0, 0.0]",3.288662342047295
Moses Moody,ok,"[0.25, 0.0, 0.75]",7.040230804362735
Miles McBride,ok,"[1.0, 0.0, 0.0]",7.361135393790437
Miles Bridges,ok,"[1.0, 0.0, 0.0]",11.295728016757991
Mike Conley,ok,"[0.0, 1.0, 0.0]",4.878094169897209
Mikal Bridges,ok,"[0.0, 0.0, 1.0]",7.939427400973705
Michael Porter Jr.,ok,"[1.0, 0.0, 0.0]",4.417099888905777
Max Strus,ok,"[1.0, 0.0, 0.0]",6.424048567686892
Jose Alvarado,ok,"[0.0, 0.5, 0.5]",3.028933734029555
Jordan Walsh,ok,"[0.0, 0.25, 0.75]",1.805294902213685
Jordan Poole,ok,"[0.0, 0.75, 0.25]",7.486494023389565
Jordan Hawkins,ok,"[0.75, 0.0, 0.25]",5.841825287978195
Jonathan Mogbo,ok,"[0.75, 0.25, 0.0]",2.711760843834567
