player,train_rows,val_rows,test_rows,status,model_path
Zach Collins,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Zach_Collins.pkl
Kevin Huerter,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kevin_Huerter.pkl
Matas Buzelis,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Matas_Buzelis.pkl
Julian Phillips,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Julian_Phillips.pkl
Noa Essengue,0,0,0,skipped,
Jalen Smith,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jalen_Smith.pkl
Tre Jones,31,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Tre_Jones.pkl
Isaac Okoro,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Isaac_Okoro.pkl
Patrick Williams,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Patrick_Williams.pkl
Lachlan Olbrich,0,0,0,skipped,
Danté Exum,13,3,3,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Danté_Exum.pkl
Max Christie,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Max_Christie.pkl
Jaden Hardy,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jaden_Hardy.pkl
Dereck Lively II,24,5,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dereck_Lively_II.pkl
Anthony Davis,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Anthony_Davis.pkl
D'Angelo Russell,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\D'Angelo_Russell.pkl
Dwight Powell,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dwight_Powell.pkl
Ryan Nembhard,0,0,0,skipped,
Brandon Williams,0,0,0,skipped,
Kyrie Irving,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kyrie_Irving.pkl
Naji Marshall,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Naji_Marshall.pkl
Miles Kelly,0,0,0,skipped,
Caleb Martin,31,7,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Caleb_Martin.pkl
Daniel Gafford,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Daniel_Gafford.pkl
P.J. Washington,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\P.J._Washington.pkl
Moussa Cisse,0,0,0,skipped,
Klay Thompson,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Klay_Thompson.pkl
Cooper Flagg,0,0,0,skipped,
Christian Braun,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Christian_Braun.pkl
Curtis Jones,0,0,0,skipped,
Julian Strawther,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Julian_Strawther.pkl
Hunter Tyson,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Hunter_Tyson.pkl
Tamar Bates,0,0,0,skipped,
Peyton Watson,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Peyton_Watson.pkl
Tim Hardaway Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Tim_Hardaway_Jr..pkl
Bruce Brown,28,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Bruce_Brown.pkl
DaRon Holmes II,0,0,0,skipped,
Nikola Jokić,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Nikola_Jokić.pkl
Jonas Valančiūnas,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jonas_Valančiūnas.pkl
Spencer Jones,13,3,3,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Spencer_Jones.pkl
Zeke Nnaji,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Zeke_Nnaji.pkl
Cameron Johnson,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Cameron_Johnson.pkl
Jalen Pickett,34,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jalen_Pickett.pkl
Jamal Murray,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jamal_Murray.pkl
Aaron Gordon,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Aaron_Gordon.pkl
Gary Payton II,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Gary_Payton_II.pkl
Jonathan Kuminga,32,7,7,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jonathan_Kuminga.pkl
Brandin Podziemski,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Brandin_Podziemski.pkl
Will Richard,0,0,0,skipped,
Moses Moody,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Moses_Moody.pkl
Buddy Hield,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Buddy_Hield.pkl
De'Anthony Melton,4,1,0,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\De'Anthony_Melton.pkl
Jimmy Butler III,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jimmy_Butler_III.pkl
